PDF Name,Summary,Clinical Field,DOI Link,Citation,Title,Author,Diagnostic Task,Feature,Key Finding
Becker_Diagnostics2025_Alpha_differentiation_of_hyperdense_vascular_vs_nonvascular_renal_lesions_572.pdf,"
==========
Summary for Becker_Diagnostics2025_Alpha_differentiation_of_hyperdense_vascular_vs_nonvascular_renal_lesions_572.pdf
==========
### Paper Summary  - **First Author**: Judith Becker - **Study Location**: University Hospital Augsburg, Germany - **Clinical Field**: Abdomen - **Clinical Task or Condition**: The study focuses on differentiating between hyperdense non-vascular and vascular renal lesions without solid components using photon-counting detector CT (PCD-CT) scans in a contrast-enhanced setting. The relevance is primarily in detection and characterization to reduce unnecessary follow-up imaging and associated burdens. - **Key Findings**:   1. Iodine quantification maps on PCD-CT scans can differentiate hyperdense non-vascular from vascular renal lesions with a sensitivity and specificity of >87.5%.   2. Virtual Non-Contrast (VNC) images showed a sensitivity of 100% but a lower specificity (55.9%) for differentiating these lesions.   3. The study suggests a cut-off value of 20.3 HU in iodine maps to distinguish between vascular and non-vascular lesions. - **Post-Processing Techniques**: Utilized techniques include Virtual Non-Contrast (VNC) images, iodine quantification maps, and Virtual Monoenergetic Imaging (VMI) at 70 keV. - **Technical Features**: The study leveraged the improved spectral separation and resolution of photon-counting technology, which allows for routine acquisition of spectral data without additional radiation dose or special protocols.  ### CT Scan and Reconstruction Protocol  | Protocol Name | Tube Voltage (kVp) | Tube Current (mA) | Rotation Time (s) | Pitch | Slice Thickness (mm) | Algorithm Type | Kernel | Window Settings | Post-Processing Techniques | Technical Features | Radiation Dose | |---------------|--------------------|-------------------|-------------------|-------|----------------------|----------------|--------|-----------------|---------------------------|--------------------|----------------| | Abdomen PCD-CT | 120                | Automatic (Care DOSE 4D) | 0.25              | 0.8   | 1.0                  | Qr40, QIR 3    | Not Specified | Not Specified  | VNC, Iodine Maps, VMI 70 keV | Improved spectral separation, higher resolution | Mean CTDI vol 8.7 mGy |  This structured summary and table provide a comprehensive overview of the study's methodology, findings, and technical specifications, ensuring clarity and consistency across similar analyses.",Abdomen-Oncology,https://doi.org/10.3390/diagnostics15010079,"Becker, J. et al. (2025). Spectral Differentiation of Hyperdense Non-Vascular and Vascular Renal Lesions Without Solid Components in Contrast-Enhanced Photon-Counting Detector CT Scans—A Pilot Study. Diagnostics, 15(1), 79.",Spectral Differentiation of Hyperdense Non-Vascular and Vascular Renal Lesions Without Solid Components in Contrast-Enhanced Photon-Counting Detector CT Scans—A Pilot Study,Becker,Renal Imaging,"Spectral Feature, High Resolution","Diagnostic Performance Metrics, Patient Management and Outcomes"
Bette_Diagnostics2022_Alpha_optimal_conspicuity_of_liver_mets_vs_keV_and_BMI.pdf,"
==========
Summary for Bette_Diagnostics2022_Alpha_optimal_conspicuity_of_liver_mets_vs_keV_and_BMI.pdf
==========
### Structured Summary  - **First Author**: Stefanie Bette - **Study Location**: University Hospital Augsburg, Germany - **Clinical Field**: Abdomen, Oncology - **Clinical Task or Condition**: The study focuses on the detection and characterization of hypovascularized liver metastases using photon-counting detector CT (PCD-CT) and virtual monochromatic imaging (VMI) reconstructions, comparing different keV settings and considering patient BMI. - **Key Findings**:   1. **Improved Conspicuity**: PCD-CT VMIs at lower keV levels (40-70 keV) showed enhanced conspicuity of liver metastases compared to standard energy-integrating detector CT (EID-CT), with higher contrast-to-noise ratio (CNR) and reduced image noise at 70 keV.   2. **BMI Impact**: Patients with higher BMI benefited from PCD-CT as it maintained consistent image noise and lesion conspicuity despite moderate CTDI upregulation, unlike EID-CT which showed increased noise with higher BMI.   3. **Dose Modulation**: The study found that PCD-CT could achieve better image quality with similar CT dose index (CTDI) values compared to EID-CT, particularly in patients with varying BMI. - **Post-Processing Techniques**: The study utilized virtual monochromatic imaging (VMI) at different keV levels (40-190 keV) to assess the optimal settings for liver metastases detection. - **Technical Features**: Key features of photon counting technology that supported the study included improved spectral sensitivity, reduced electronic noise, and enhanced spatial resolution, which facilitated better lesion conspicuity and image quality, especially in patients with higher BMI.  ### CT Scan and Reconstruction Protocol Information  | Protocol Name | Tube Voltage (kVp) | Tube Current (mA) | Rotation Time (s) | Pitch | Slice Thickness (mm) | Algorithm Type | Kernel | Window Settings | Post-Processing Techniques | Technical Features | Radiation Dose | |---------------|-------------------|------------------|-------------------|-------|----------------------|----------------|--------|-----------------|---------------------------|-------------------|----------------| | PCD-CT        | 120               | Auto (Care DOSE 4D) | 0.25              | 0.8   | 1.0                  | QuantumPlus    | Qr40   | Not Specified   | VMI 40-190 keV            | Higher CNR, Lower noise at 70 keV | Similar CTDI to EID-CT | | EID-CT        | 100/120           | Auto (CareDose 4D) | 0.5               | 1.05  | 1.5                  | SAFIRE (Level 3) | I31f   | Not Specified   | None                      | Standard EID features | Similar CTDI to PCD-CT |  If specific details are not mentioned or are unclear, they are marked as 'Not Specified' or 'Unclear'. This table maintains a uniform structure for consistency across different studies.",Abdomen-Oncology,https://doi.org/10.3390/diagnostics12051231,"Bette, S. et al. (2022). Optimal Conspicuity of Liver Metastases in Virtual Monochromatic Imaging Reconstructions on a Novel Photon-Counting Detector CT—Effect of keV Settings and BMI. Diagnostics, 12(5), 1231.",Optimal Conspicuity of Liver Metastases in Virtual Monochromatic Imaging Reconstructions on a Novel Photon-Counting Detector CT—Effect of keV Settings and BMI,Bette,Liver Imaging,"Spectral Feature, High Resolution",Image Quality
Bette_EurRadiol2024_Alpha_diagnostic_performance_for_differentiating_adrenal_adenomas_vs_mets_324.pdf,"
==========
Summary for Bette_EurRadiol2024_Alpha_diagnostic_performance_for_differentiating_adrenal_adenomas_vs_mets_324.pdf
==========
**Structured Summary of the PCCT-Focused Paper**  - **First Author:** Stefanie Bette - **Study Location:** University Hospital Augsburg, Faculty of Medicine, University of Augsburg, Germany - **Clinical Field:** Abdomen - **Clinical Task or Condition:** Differentiation between adrenal adenomas and metastases, focusing on detection and characterization. - **Key Findings:**   1. Adrenal adenomas showed significantly lower CT values in VNCConv and VNCPC compared to metastases (p = 0.007).   2. The mean difference between VNC and true non-contrast (TNC) was 17.67 for VNCConv and 14.85 for VNCPC.   3. Using 26 HU as a threshold in VNCConv reconstructions allowed discrimination between adenomas and metastases with 86.7% sensitivity and 75.6% specificity. - **Post-Processing Techniques:**    - Virtual Non-Contrast (VNCConv and VNCPC)   - Virtual Monochromatic Images (VMI) ranging from 40-90 keV   - Iodine Maps - **Technical Features:**    - Photon-counting technology provided improved spectral separation, allowing differentiation between tissue types.   - The study highlighted the use of VNC algorithms that tend to overestimate CT values compared to TNC, yet still provide reliable discrimination between adenomas and metastases.  **CT Scan and Reconstruction Protocol Information:**  | Protocol Name      | Tube Voltage (kVp) | Tube Current (mA) | Rotation Time (s) | Pitch | Slice Thickness (mm) | Algorithm Type | Kernel | Window Settings | Post-Processing Techniques          | Technical Features                  | Radiation Dose | |--------------------|--------------------|-------------------|-------------------|-------|----------------------|----------------|--------|-----------------|------------------------------------|-------------------------------------|----------------| | Abdomen QuantumPlus| 120                | Not Specified     | 0.5 or 0.25       | Not Specified | 1.0                 | Research Software ReconCT 16.0 | Qr40   | Not Specified     | VNCConv, VNCPC, VMI 40-90 keV, Iodine Maps | Improved spectral separation | Not Specified   |  **Note:** 'Not Specified' indicates details that were not provided in the paper.",Abdomen-Oncology,https://doi.org/10.1007/s00330-024-10675-x,"Bette, S. et al. (2024). Diagnostic performance of photon-counting detector CT for differentiation between adrenal adenomas and metastases. European Radiology, 34(9), 5944-5953.",Diagnostic performance of photon-counting detector CT for differentiation between adrenal adenomas and metastases,Bette,General Abdominal-Oncology Imaging,"Spectral Feature, High Resolution","Image Quality, Diagnostic Performance Metrics"
Dane_EurJRadiol2024_Alpha_vs_Edge_pancreatic_cyst_prevalence_and_detection_333.pdf,"
==========
Summary for Dane_EurJRadiol2024_Alpha_vs_Edge_pancreatic_cyst_prevalence_and_detection_333.pdf
==========
### Structured Summary  - **First Author:** Bari Dane, MD - **Study Location:** NYU Langone Health, New York, NY, USA - **Clinical Field:** Abdomen - **Clinical Task or Condition:** Detection and prevalence calculation of pancreatic cysts using photon-counting CT (PCCT) compared to conventional energy-integrating detector CT (EIDCT). - **Key Findings:**   1. **Detection Rate:** PCCT showed a higher pancreatic cyst detection rate of 4.9% compared to 3.0% with EIDCT, with statistical significance (p = .017).   2. **CT Angiograms:** PCCT detected pancreatic cysts in 6.6% of CT angiograms versus 0.0% with EIDCT (p < .001).   3. **Newly Described Cysts:** 40.7% of PCCT-detected cysts were newly described, compared to 14.8% with EIDCT (p = .027), indicating that PCCT provides better visualization of previously less conspicuous cysts. - **Post-Processing Techniques:** Not specifically mentioned in the paper. - **Technical Features:** PCCT provided improved spatial resolution and iodine contrast-to-noise ratio (CNR) compared to EIDCT, leading to better detection of pancreatic cysts, especially in CT angiograms.  ### CT Scan and Reconstruction Protocol Information  | Protocol Name                      | Tube Voltage (kVp) | Tube Current (mA) | Rotation Time (s) | Pitch | Slice Thickness (mm) | Algorithm Type | Kernel | Window Settings | Post-Processing Techniques | Technical Features                      | Radiation Dose | |------------------------------------|--------------------|-------------------|-------------------|-------|----------------------|----------------|--------|----------------|---------------------------|-----------------------------------------|----------------| | Abdominopelvic CT Angiogram (PCCT) | 120                | Not Specified     | Not Specified     | Not Specified | 4, 0.8, 3           | Not Specified  | Not Specified | Not Specified   | Not Specified             | Improved spatial resolution and iodine CNR | Lower than EIDCT | | Abdominopelvic CT Angiogram (EIDCT)| Not Specified      | Not Specified     | Not Specified     | Not Specified | 4, 0.8, 3           | Not Specified  | Not Specified | Not Specified   | Not Specified             | Standard EIDCT features                  | Standard       |  **Note:** Specific scan and reconstruction parameters such as tube current, rotation time, pitch, algorithm type, kernel, and window settings were not detailed in the provided text. The focus was on the comparative detection efficacy of PCCT versus EIDCT.",Abdomen-Oncology,https://doi.org/10.1016/j.ejrad.2024.111437,"Dane, B. et al. (2024). Pancreatic cyst prevalence and detection with photon counting CT compared with conventional energy integrating detector CT. European Journal of Radiology, 175(), 111437.",Pancreatic cyst prevalence and detection with photon counting CT compared with conventional energy integrating detector CT,Dane,Pancreatic Imaging,"Spectral Feature, High Resolution",Diagnostic Performance Metrics
Decker_Radiology2022_Alpha_anemia_detection_by_hemoglobin_quantification_on_CECT.pdf,"
==========
Summary for Decker_Radiology2022_Alpha_anemia_detection_by_hemoglobin_quantification_on_CECT.pdf
==========
### Structured Summary  - **First Author**: Josua A. Decker, MD - **Study Location**: University Hospital Augsburg, Germany; Medical Faculty, Ludwig Maximilian University Munich, Germany - **Clinical Field**: Oncology - **Clinical Task or Condition**: Detection and quantification of anemia in oncologic patients using contrast-enhanced photon-counting CT (PCCT). - **Key Findings**:   1. Average CT values from VNC series showed a strong correlation with hemoglobin (Pearson R² = 0.81) and hematocrit (Pearson R² = 0.77), indicating the potential for anemia detection.   2. Significant differences in CT values (VNC) were observed between patients with varying anemia severities (no, mild, moderate, severe), demonstrating the technique's sensitivity to anemia grading.   3. This method offers a non-invasive means to detect anemia on routine contrast-enhanced acquisitions, potentially identifying unknown or worsening anemia in oncologic patients. - **Post-Processing Techniques**: Virtual Non-Contrast (VNC) imaging and 70-keV monoenergetic imaging series were utilized. - **Technical Features**: The study leveraged the spectral information inherent in photon-counting detector CT, allowing for VNC series generation and improved soft tissue contrast.  ### CT Scan and Reconstruction Protocol  | Protocol Name       | Tube Voltage (kVp) | Tube Current (mA) | Rotation Time (s) | Pitch | Slice Thickness (mm) | Algorithm Type | Kernel | Window Settings | Post-Processing Techniques | Technical Features                       | Radiation Dose        | |---------------------|--------------------|-------------------|-------------------|-------|----------------------|----------------|--------|-----------------|---------------------------|------------------------------------------|-----------------------| | Oncologic Staging   | Not Specified      | Not Specified     | Not Specified     | Not Specified | Not Specified       | Not Specified  | Not Specified | Not Specified    | VNC, VMI 70 keV          | Improved spectral separation, soft tissue contrast | CTDI: 8.5 mGy, DLP: 490 mGy∙cm |  **Note**: Some scan and reconstruction parameters were not specified in the original paper.",Abdomen-Oncology,https://doi.org/10.1148/radiol.220063,"Decker, J. et al. (2022). Anemia Detection by Hemoglobin Quantification on Contrast-enhanced Photon-counting CT Data Sets. Radiology, 305(3), 650-652.",Anemia Detection by Hemoglobin Quantification on Contrast-enhanced Photon-counting CT Data Sets,Decker,General Abdominal-Oncology Imaging,"Spectral Feature, High Resolution",Diagnostic Performance Metrics
Dillinger_Diagnostics2024_Alpha_VMI_for_optimizing_arterial_vessel_contrast_in_abdominal_PVP_329.pdf,"
==========
Summary for Dillinger_Diagnostics2024_Alpha_VMI_for_optimizing_arterial_vessel_contrast_in_abdominal_PVP_329.pdf
==========
### Structured Summary  - **First Author:** Daniel Dillinger - **Study Location:** Bundeswehr Central Hospital, Koblenz, Germany, and University Medical Centre Mannheim, Heidelberg University, Germany. - **Clinical Field:** Abdomen - **Clinical Task or Condition:** The study focused on optimizing arterial vessel contrast in the portal venous phase using virtual monoenergetic images (VMI) from photon-counting detector CT (PCD-CT) scans. This is relevant for the assessment of vascular structures in scenarios where arterial phase imaging is suboptimal. - **Key Findings:**   1. **Arterial Attenuation:** VMI at 40 keV showed significantly higher arterial attenuation (439 ± 97 HU) compared to polychromatic (pc) arterial phase images (360 ± 97 HU, p < 0.001).   2. **Noise, SNR, and CNR:** Although VMI at 40 keV provided the best vascular contrast, it resulted in higher noise and lower SNR and CNR compared to pc images. Noise was significantly reduced at energy levels above 70 keV (p < 0.001).   3. **Subjective Image Quality:** The best subjective image quality was observed at 70 keV, with optimal vascular contrast at 40 keV. - **Post-Processing Techniques:** Virtual monoenergetic imaging (VMI) was employed at various keV levels, particularly focusing on 40 keV and 70 keV for optimal contrast and noise reduction. - **Technical Features:** The study leveraged the improved resolution and higher soft tissue contrast of PCD-CT technology, enabling better spectral separation and reduced electronic noise, which are critical for enhancing image quality and contrast.  ### CT Scan and Reconstruction Protocol Information  | Protocol Name | Tube Voltage (kVp) | Tube Current (mA) | Rotation Time (s) | Pitch | Slice Thickness (mm) | Algorithm Type | Kernel | Window Settings | Post-Processing Techniques | Technical Features | Radiation Dose | |---------------|--------------------|-------------------|-------------------|-------|----------------------|----------------|--------|-----------------|---------------------------|--------------------|----------------| | Abdominal CTA | 120                | Modulated         | Not Specified     | 0.80  | 1                    | Spectral       | Qr40   | Standard        | VMI 40-190 keV            | Improved resolution, lower noise | Not Specified |  This table summarizes the CT scan and reconstruction protocol used in the study, highlighting the post-processing techniques and technical features of the photon-counting technology. Note that specific details regarding rotation time and radiation dose were not specified in the paper.",Abdomen-Oncology,https://doi.org/10.3390/diagnostics14060627,"Dillinger, D. et al. (2024). Optimizing Arterial Vessel Contrast in Portal Venous Phase with Virtual Monoenergetic Images from Photon-Counting Detector CT Scans of the Abdomen—First Clinical Experiences. Diagnostics, 14(6), 627.",Optimizing Arterial Vessel Contrast in Portal Venous Phase with Virtual Monoenergetic Images from Photon-Counting Detector CT Scans of the Abdomen—First Clinical Experiences,Dillinger,Vascular Imaging,"Spectral Feature, High Resolution",Image Quality
Graafen_AcadRadiol2023_Alpha_soft_kernels_improve_HCC_imaging_148.pdf,"
==========
Summary for Graafen_AcadRadiol2023_Alpha_soft_kernels_improve_HCC_imaging_148.pdf
==========
- **First Author**: D. Graafen, MD, PhD - **Study Location**: University Medical Center of the Johannes Gutenberg-University Mainz, Mainz, Germany - **Clinical Field**: Oncology - **Clinical Task or Condition**: The study focuses on imaging hepatocellular carcinoma (HCC) using photon-counting detector CT (PCD-CT) to improve image quality for non-invasive diagnosis, which is crucial for HCC as it does not require histological proof. - **Key Findings**:    1. Soft reconstruction kernels (sharpness level 36) provided the highest contrast-to-noise ratio (CNR) across all contrast phases, with no significant impact on lesion sharpness.   2. Softer kernels were rated higher for noise reduction and overall image quality (p < 0.05), without affecting image contrast and lesion conspicuity.   3. Quantitative kernels showed no difference in image quality compared to regular body kernels, supporting their use for spectral post-processing. - **Post-Processing Techniques**: Virtual Monoenergetic Images (VMI) at 50 keV were used. - **Technical Features**: The study utilized the improved noise reduction, higher spatial resolution, and spectral capabilities of photon-counting CT technology.  ### CT Protocol and Reconstruction Information  | Protocol Name      | Tube Voltage (kVp) | Tube Current (mA) | Rotation Time (s) | Pitch | Slice Thickness (mm) | Algorithm Type        | Kernel      | Window Settings | Post-Processing Techniques | Technical Features          | Radiation Dose | |--------------------|--------------------|-------------------|-------------------|-------|----------------------|-----------------------|-------------|----------------|---------------------------|-----------------------------|----------------| | Triple-phase PCD-CT| 120                | 380 (without modulation) | Not Specified     | Not Specified | 1                    | Quantum Iterative Reconstruction Level 3 | Br36, Br40, Br44, Br48, Qr36, Qr40, Qr44, Qr48 | W:400, L:60     | VMI at 50 keV              | Higher spatial resolution, reduced noise | CTDI vol (mGy): 16-17, DLP (mGy*cm): 480-690, Effective dose (mSv): 7-10 |  Note: 'Not Specified' or 'Unclear' is used where specific details were not provided in the original text.",Abdomen-Oncology,https://doi.org/10.1016/j.acra.2023.03.026,"Graafen, D. et al. (2023). Soft Reconstruction Kernels Improve HCC Imaging on a Photon-Counting Detector CT. Academic Radiology, 30(), S143-S154.",Soft Reconstruction Kernels Improve HCC Imaging on a Photon-Counting Detector CT,Graafen,Liver Imaging,"Spectral Feature, High Resolution",Image Quality
Huflage_Radiology2024_Alpha_vs_Force_sub_mSv_kidney_stone_CT_with_Sn_filter_436.pdf,"
==========
Summary for Huflage_Radiology2024_Alpha_vs_Force_sub_mSv_kidney_stone_CT_with_Sn_filter_436.pdf
==========
### Structured Summary  - **First Author**: Henner Huflage, MD - **Study Location**: University Hospital Würzburg, Germany - **Clinical Field**: Genitourinary Imaging - **Clinical Task or Condition**: Detection of urinary calculi using unenhanced low-dose CT scans. The study focuses on comparing photon-counting detector (PCD) CT to energy-integrating detector (EID) CT in terms of radiation dose reduction and image quality. - **Key Findings**:   1. **Radiation Dose Reduction**: The effective radiation dose was reduced by 44% using PCD CT compared to EID CT, with doses of 0.79 mSv (PCD) vs. 1.39 mSv (EID).   2. **Image Quality**: PCD CT showed higher signal-to-noise ratios at the kidney, psoas, and obturator levels by 30%, 23%, and 17% respectively, compared to EID CT.   3. **Reader Confidence**: There was no significant difference in diagnostic confidence between PCD CT and EID CT, with a median confidence score of 5 on a 5-point scale. - **Post-Processing Techniques**: Not specified. - **Technical Features**: The study highlights the PCD CT's superior dose efficiency and improved image quality due to better signal-to-noise ratios, despite reduced radiation exposure.  ### CT Scan and Reconstruction Protocol Information  | Protocol Name | Tube Voltage (kVp) | Tube Current (mA) | Rotation Time (s) | Pitch | Slice Thickness (mm) | Algorithm Type | Kernel | Window Settings | Post-Processing Techniques | Technical Features | Radiation Dose | |---------------|--------------------|-------------------|-------------------|-------|----------------------|----------------|--------|-----------------|---------------------------|--------------------|----------------| | EID CT        | Sn 100/150         | 400 (preset)      | 0.5               | Not Specified | 1                    | Iterative     | Br36   | Not Specified   | Not Specified             | Lower SNR          | 1.39 mSv       | | PCD CT        | Sn 100/140         | Automatic         | 0.5               | Not Specified | 1                    | Iterative     | Br36   | Not Specified   | Not Specified             | Higher SNR         | 0.79 mSv       |  **Notes**: - **Radiation Dose**: PCD CT achieved a 44% reduction compared to EID CT. - **Technical Features**: PCD CT provided higher image quality with improved signal-to-noise ratios, despite lower radiation exposure.",Abdomen-Oncology,https://doi.org/10.1148/radiol.232453,"Huflage, H. et al. (2024). Submillisievert Abdominal Photon-Counting CT versus Energy-integrating Detector CT for Urinary Calculi Detection: Impact on Diagnostic Confidence. Radiology, 312(1), .",Submillisievert Abdominal Photon-Counting CT versus Energy-integrating Detector CT for Urinary Calculi Detection: Impact on Diagnostic Confidence,Huflage,Renal Imaging,High Resolution,"Image Quality, Reduced Radiation Dose, Diagnostic Performance Metrics"
Khanungwanitkul_Radiology2024_Alpha_side_branch_intraductal_papillary_mucinous_neoplasm_case_report_440.pdf,"
==========
Summary for Khanungwanitkul_Radiology2024_Alpha_side_branch_intraductal_papillary_mucinous_neoplasm_case_report_440.pdf
==========
- **First Author:** Khanin Khanungwanitkul, MD - **Study Location:** Brigham and Women’s Hospital, Boston, MA, USA; Prince of Songkla University, Songkhla, Thailand - **Clinical Field:** Abdomen - **Clinical Task or Condition:** Detection and characterization of a side-branch intraductal papillary mucinous neoplasm (IPMN) in the pancreas. - **Key Findings:**   1. Photon-counting CT (PCCT) at a 0.4-mm section thickness was able to demonstrate a thin connection between a hypoattenuating pancreatic lesion and the main pancreatic duct, which was not discernible at thicker section images (2 mm or 4 mm).   2. An iodine overlay image showed no iodine uptake in the lesion, suggesting the absence of enhancement and aiding in the diagnosis of the pancreatic lesion as a side-branch IPMN.   3. MR cholangiopancreatography confirmed the cystic nature of the lesion but failed to demonstrate the ductal connection seen in PCCT, highlighting the superior resolution of PCCT in this context. - **Post-Processing Techniques:** Iodine overlay image at 0.4-mm section thickness used to assess iodine uptake and characterize the lesion. - **Technical Features:** The study leveraged the high-resolution capability of photon-counting CT, allowing for thin section imaging (0.4 mm) that provided detailed visualization of small anatomical connections not visible in thicker sections.  ### CT Scan and Reconstruction Protocol Information: | Protocol Name | Tube Voltage (kVp) | Tube Current (mA) | Rotation Time (s) | Pitch | Slice Thickness (mm) | Algorithm Type | Kernel | Window Settings | Post-Processing Techniques | Technical Features | Radiation Dose | |---------------|--------------------|-------------------|-------------------|-------|----------------------|----------------|--------|-----------------|---------------------------|--------------------|----------------| | Abdomen PCCT  | Not Specified      | Not Specified     | Not Specified     | Not Specified | 0.4                 | Not Specified  | Not Specified | Not Specified   | Iodine overlay image | High-resolution imaging with PCCT | Not Specified |  *Note: Some specific scan and reconstruction parameters were not provided in the text.*",Abdomen-Oncology,https://doi.org/10.1148/radiol.240611,"Khanungwanitkul, K. et al. (2024). Photon-Counting CT Shows Side-Branch Intraductal Papillary Mucinous Neoplasm–Pancreatic Duct Connection. Radiology, 312(2), .",Photon-Counting CT Shows Side-Branch Intraductal Papillary Mucinous Neoplasm–Pancreatic Duct Connection,Khanungwanitkul,Pancreatic Imaging,"Spectral Feature, High Resolution",Diagnostic Performance Metrics
Lennartz_Radiology2022_Alpha_VNC_for_assessing_adrenal_adenoma.pdf,"
==========
Summary for Lennartz_Radiology2022_Alpha_VNC_for_assessing_adrenal_adenoma.pdf
==========
### Structured Summary  - **First Author**: Simon Lennartz, MD - **Study Location**: University of Cologne, Faculty of Medicine and University Hospital Cologne, Cologne, Germany; Johannes Wesling University Hospital, Ruhr University Bochum, Bochum, Germany. - **Clinical Field**: Genitourinary Imaging - **Clinical Task or Condition**: The study focused on evaluating photon-counting detector CT (PCCT)-derived virtual unenhanced (VUE) images for the assessment of adrenal adenomas, specifically comparing them to true unenhanced (TUE) images for accurate classification of lipid-rich and lipid-poor adenomas. - **Key Findings**:   1. VUE images showed both over- and underestimation of TUE attenuation in adrenal adenomas, indicating potential misclassification risks (10 out of 36 adenomas were misclassified using the VUE 10-HU threshold).   2. VUE images led to underestimation of attenuation in psoas muscle and portal vein, but overestimation in fat tissue, suggesting discrepancies in tissue-specific attenuation between VUE and TUE images.   3. Differences in attenuation between VUE and TUE images were negatively correlated with portal venous phase attenuation and TUE attenuation. - **Post-Processing Techniques**: Virtual Unenhanced (VUE) images derived from portal venous phase acquisitions. - **Technical Features**: PCCT technology provided high spatial resolution and enabled material decomposition, though the study highlighted the need for further technical optimization due to discrepancies in attenuation measurements.  ### CT Scan and Reconstruction Protocol Information  | Protocol Name | Tube Voltage (kVp) | Tube Current (mA) | Rotation Time (s) | Pitch | Slice Thickness (mm) | Algorithm Type | Kernel | Window Settings | Post-Processing Techniques | Technical Features | Radiation Dose | |---------------|--------------------|-------------------|-------------------|-------|----------------------|----------------|--------|-----------------|---------------------------|-------------------|----------------| | Adrenal Adenoma Assessment | 120 | Not Specified (automated exposure control) | 0.25–0.5 | 0.8 | 2 | Quantum Iterative Reconstruction Level 4 | Not Specified | Not Specified | VUE from portal venous phase | High spatial resolution, material decomposition | Not Specified |  Note: Some parameters like tube current and specific kernel type were not specified in the study.",Abdomen-Oncology,https://doi.org/10.1148/radiol.220919,"Lennartz, S. et al. (2023). Photon-counting CT Material Decomposition: Initial Experience in Assessing Adrenal Adenoma. Radiology, 306(1), 202-204.",Photon-counting CT Material Decomposition: Initial Experience in Assessing Adrenal Adenoma,Lennartz,General Abdominal-Oncology Imaging,"Spectral Feature, High Resolution","Image Quality, Diagnostic Performance Metrics"
